target_id,system_type,driver_folder_name
Virtual,Desktop,Virtual
Z210,Desktop,Z210
8300,Desktop,8300AIO
Z220,Desktop,Z220
Z230,Desktop,Z230
Z1 G2,Desktop,Z1G2
Prodesk 600 G1,Desktop,ProDesk600G1
6570b,Mobile,folio9470m
Classmate,Mobile,Classmate
Companion,Mobile,Classmate
210 G1,Mobile,210G1
Folio 9470,Mobile,folio9470m
Revolve 810 G1,Mobile,Revolve810G1
Revolve 810 G2,Mobile,Revolve810G2
Revolve 810 G3,Mobile,Revolve810G3
440 G3,Mobile,Probook440G3
650 G1,Mobile,Probook650G1
720 G1,Mobile,Elitebook720G1
840 G1,Mobile,Elitebook840G1
850 G1,Mobile,Elitebook850G1
350 G2,Mobile,350G2
20DAS01R00,Mobile,Yoga11e
20DAS01T00,Mobile,Yoga11e
Surface Pro 3,Mobile,SurfacePro3
Surface 3,Mobile,Surface3
Satellite C55-B,Mobile,ToshibaC55
X360 310 G2,Mobile,X360G2
